alias,channels_closed
CONFIRMO.net_uat,467
SpookyPaymentAtADistance,2410
WittyNodeAlias,3168
GirthMavic,4266
02855fed8520257d2b29,1443
024e270eff5e83d06c06,1768
MonacoKitchen,5
2e8a309676-sphinx,0
NWO,2111
0290ac91e88e2df939fa,3
CypherMonks,965
cryptopaie,3
carche,4
03573a3200793e6338b6,0
Chainalysis,3
Bertha,1999
0349ae4f721fb4a81c3a,5734
BTCNode,698
OneNilToTheArsenal,372
ektorp,6
0343b22f51657e79e6db,0
Alpine Nodl,1952
Maarten_SD_Belgium,603
IBEXMercado,7
03305a714e271bb6cd93,27
0333786e0ae489263cf6,5
TARGET2,2965
02b43cf6ef1994086a60,341
escalator,409
JhinChak,3
lightning.bot,6845
03da4ed6cc7faa31368b,0
FastAndFree,685
Node2CCM,527
AttenuNode,550
BYTEFEDERAL,64
Wellsfargo,191
fahrenheit451,17789
BTC_K8,0
dembele,0
02a4ac8575fdbfeafd84,563
Dagobah,869
B,ham HoDL,459
cybercowgirl,561
Sidemix,3
DaddyPig,26
Island Bitcoin🇯🇲,13004
0351cc7702d31c986c5b,474
cnhq.cusnet.net,223
0320d8df1a521e11f83a,0
Saturn,1182
d5ee33a433-sphinx,0
Genesis,756
kaomlnd,511
LodestarLND,16
Balkanblitz,3783
lokullblitz,8
0221da67cc9e0adb1370,58
NodeRunner,2717
02dc35208a52003f7e5d,10
0247bf4d37a1ffe2f04c,0
dora-the-crypto-explorer,8003
Merlin 🧙,8791
02ed6d58db3369dc2f27,0
bitcoinaruba,409
LightningLakes,113
lnd-dev-node,6
oahu_road,3295
025a6636921319618bab,7
Fornaxian Tech,1009
myNodeLND,3
WeKo,14
032866ef6477cd726d7e,3
taznode,50
02f12158d46cb8c4cd8b,3
BTC4Ever,1401
LASER EYES,413
DeplorableCarnivore,1824
specter,1380
schmidhuber,19
025e1b38c352d6bbd0bc,6
bitcoin.sex ⚡,2209
0372642964437b607ab6,919
Warpedspace - PLEBNET.org,1501
Apple sauce,13
ec28fa3eac-sphinx,0
ln2.dohmen.net,518
ambrosianektareu,351
02f324df7694f57b7d80,23345
035e04866f2ae458a7df,3
⚡LNDg.xyz,2613
LightningStrategy,3128
captain_deft,1149
02646b620effa9b10074,0
HauiLND,2103
epimetheus,75
R-Cyberjaya-MY,323
02151ba236feb503caf0,3
🥒CTRLBREAK🥒,4519
Breez2,25
FrostyOne,8
Flash_Tits_If_You_Like_Wookiees,857
anode,1694
024b224cbefd7b0c6a37,470
03d008c6a308d3b2a345,7
davidcoen.it_TEST 0 routing fee,575
0200b122dd16817e0add,25
zap,2498
gnarliberte,582
03db76f0e63150badacf,47
Gaisberg [Will fund back],429
silknet,4738
03752eee2d9ac8b1457b,0
Einundzwanzig,14160
LightningAS,686
038c50d0e1492528fce7,9
HJG1-SA,81
hypernode,853
Plebnet Ahura,16
KiloBravo1,1949
mynodebtc.cooper,7
GrosseFreiheit,646
BitcoinBeachBR - Jericoacoara,1236
raspiblitzJR,11
02bca5e545b5e6f868dd,194
NodeNotFound,13012
067b3bbe1c66,0
Citadel2140,806
FiX900,0
SoulexBoy_BXXI,5476
Steed.ZeroBase,3971
029f245028fac1ea9570,263
LghtFTW_II,1766
035940fcacbdc1ad61e5,229
XBT DOT LLC,4
HOPPINGSET,191
btcbrother,3111
03790e10c296b12535ba,155
HuginKira,550
03de193967c5242c0d51,16
kungmeow,486
epicurious,196
rsp2-lnd,5
Matoshi,57
BTC4Me,2368
038e611daccc4f5c5762,1414
02ef63b97e509c84ed66,136
03518e3891db562e973b,1179
SHOGUN,2359
ziggysmalls,19
hodl.wiki,24
Schoko1960Blitz,20
02081abe0d8cc8cab1b4,78
Gloop,722
034acec3a80147775565,7
burgem,587
mynodebtc.com[itwthi],196
Eddy,1529
nebuchadnezzar,939
01.lnMNDR.dAdiidodge,0
Italian Pizza,15
MindlessPandora,3157
02574d4de238aaf6f382,234
Briggarno,9
RaspiBTCLT,273
0267dd831e2a46dbe370,3
036cffc30e246aacb314,0
028f0d709bb96ed0205d,82
LatvianStar,821
0250b847bc71f6d3f13d,558
Behindthecorner,5725
02461d7f0b99b451738a,0
030194a5cfa05762485e,16
Chilidem,323
02637a5db0299c22c736,221
031d172aa95ad48a3103,144
02f9620e8cf7650c4bed,7
Hemelvuur,176
03d93157342db3029f17,63
03f0f99ed3152515e6d7,679
025c11a5446e082d23c4,1747
Louferlou,3849
Barry,3
blitzsome,687
ben,776
03b6c76dde433b2b2c61,87
03f7c64b8346683dc6c4,0
025059fc39e07f39cd12,3
light#CercleDuCoin,3
Coinnet.EU Lightning ☇,1265
BankOfSaj,130
node_way_jose,4064
btc.nth.io,0
EdVe Node,3
BasedBoltz,851
castle_takeshi,3
03a024c8e3311be1740c,0
CryptoDd,87
MoonBounce,435
03ea56d087d74b1f65be,0
fiat,705
02781c1f1954ba31350a,0
Electron,180
MalteseConnection,570
gi-blitz,1123
024fa071747920bb4291,761
lndwr2.zaphq.io,842
LNGames.io,30
demoNode,2842
Just another wheel,3
Bifroest,646
Barlouca Alpha,1172
BitBert,795
NakamotoArtDept.,1844
🦉⚡LightningUK⚡,36
steel,147
02c678cab18333f0c355,602
ImANodeIFixTheMoneyFixTheWorld,2187
lndwr1.zaphq.io,1316
Michelangelo,6
spechan,84
Dogma,30
ElectroCoin,159
03b4ab0678003eec5e19,28
spotlight.soy,10193
03d997969a13d207372a,0
03775677c192ba4a9021,63
neb_b,2665
nodl-lnd-s009-046,0
03894f2f51e9443a93e3,307
isoguna,89
altcode,346
LNBIG.com [lnd-03],20932
ulrichard.ch,2009
02341c8f2a894aae98c3,8
TAC,3
REBEL⚡,11607
tee8z,3246
JKPGVATTERNNODE,354
CYGNUS_ATRATUS,0
Nyambaatar,218
LNBIG.com [lnd-31],18322
arny,223
fixedsupply,1914
meerkat.lnd,2821
Mosis,0
02b19a15b97e552755d4,3
Nightling 🌙,16416
Genesis Block HK,251
lampredplant,126
mainnet4-lnd.zaphq.io,21
03bd2693f5866b5869a2,427
Palmbeach,7
SLICKERWATCH,5916
0260f0eed18e5b4232d4,568
02c19a4ce73d597d45de,41
02c7da3b53e6778fc993,274
JayNode,162
03e781d0e1d0f4054aa4,5
NotYourKeys,356
HardMoney🐚,1306
032a3f5a59e529a45076,3
AssetResist,1348
02ba1722c9beb884f6bf,2631
DUTCH.HORNET,5245
phatsats.com,9115
eLittle,3671
03d2c066c4b99a14cbe3,91
tulkooo,8600
krypton,381
02684209533fe20560a2,3
0278b205f12285610730,4
027c9d183c8514d6491e,8
MrGlass[🤘],554
Vires in Numeris,14945
knrc,2288
bobbydigitalnodl,523
RetiringOn.Bitcoin [myNode],86
0312bf5f0279d315fde0,686
02c1fda7f17972063d27,0
Beeman,2241
0384df1a8e3c15132e8d,19
02e45bd957506d2256a7,0
ickycage,725
Walid,17
Beauceron,16
BTC<->XBT,2298
BAM,3657
BTConscious,3003
jirichlebus.cz,3
RebelRebel,1374
028d320bbf85b5af348f,860
donate.sparrowwallet.com,1432
OsmarasNode,129
03b4261ebc18c4dee9d7,318
LightningNode,4607
Pumpkin,948
KillyTheBid,729
firi.com,2419
�curamedan�,3
ThorSonOfNoden,716
veke,529
rekr,236
Austronode,11694
02aa95b5b8ec90c62cd0,423
Evilspoonman,12
2Wallet,1678
02d56ced9426ad9c7ae3,515
033d449c0cf1e7680f29,2563
03c47a7b90d20a3cf7d9,510
03b94e60f3c74742334f,718
randotron,45
Test1,41
BitcoinFreiheit Node,211
Not.a.Broker,293
xponzytech.com,253
otto,596
AveragePleb,107
Kronos [myNode],496
ln-no.de,7602
nvrbnbttr,647
UglysKidLightningNode,506
tamemex,84
Freiheit05,3
FinanzflussNode,3841
BurlySheep,1575
03af6074c65b0aa63ef1,0
sappiamo,6321
02d9c6b45269a39db88b,120
033478b3b66aa88ebd24,4204
DitoPay_SV_M1,2395
031345ce3be932f3808f,0
02c9cbec576688e56419,85
liquidbuddha.cc,5
start9-0xee7f67a5d0f94431,3
023d895f96263bc252b6,148
Qbitdidit,5
020bc6581d7c4709f2e4,9
burrto,2183
LightningCrew,7413
BFD,77
03549f4622bf2a936ab0,3066
loads-lnd,722
0310ec811c9681e2a0de,28
Nexus,446
btcpaylove,735
Digital,446
LNINSIGHTS.COM,3851
Dagnela 🦄 Hunter,23038
0300e1dd6cd39fd9f362,752
03378042dbd7f9671e55,4108
satoshiindex,1330
02a0e1fe4ad87b27229c,9
anarchygal,3
03deed33305d3b5d24c9,0
Kostolany,445
JoeYabuki,26
03d9638fe6f6ab8b5e10,77
FloridaBitcoin,2739
QCCT,8
02fb22354383c240f9a0,3396
02cfa80a9c191e5c7aaf,1486
02254e8fb2619239f46c,0
Wight,46
Kukks loves you,2819
doing the needful (dtn),103
0274791f64eeca600fee,8
030b2a926b1d781b6da7,57
0295e6ede4c56c581b37,15
E-PARA.NET,1016
02bebaf15c038fa52a59,1897
035fd952c079b4380e7d,3
d1gitalflow.com,989
031b4b8cd322d9dab094,20
02c4c4b8cd28332c5c2d,4
1.LN Alkmaar,662
0348fad65d5e3e73029c,31
026393adb3d4f4d7330d,35
physio node,0
031a52fbcb6d408d36ac,8
Meine_Node_01,637
elle,1288
GoodAftermoon,5982
VIOLENTMONKEY-v0.10.2,2259
General-Cosmic-Company,4071
03bd7009f1e909e1358a,140
03946470d5aa3352039a,4
LNDDexNode,8
03af1a3c1cabe7ac2716,48
02070ae16ba40dd65d20,423
CreamPay,9730
psychoet,278
BigShifter,302
03f2172bcd63e6631927,1096
Barracuda,30
barbarixRocks,390
weshalpass,18
Ih8alts,4611
stackingsatoshis.com,168
SPENGBEB,4
AGLD-Bullion-Desk,817
0AK,629
Lightning,144
025dd22b2894fbcd9efc,20
036baa28241725287e7e,0
02cb277b8b684b4c928e,589
Rot-Trip,666
pingbot,1345
ECB,36
kryptoconnectio,87
BTC4ALL,4186
routingNodeLK,558
HansKloss,507
0294092a45da0ffef1d6,5
morousim,50
Satoshi-Reserve,2724
raumiblitz,498
Colombia 🇨🇴,2788
svobodnedeti.cz,51
nodelife,14
bitsquirrel,8
SybrBlue,664
02706c31552f820a0513,20
mynodebtc.com [myNodeOLVelez],16
03eaa33fcd3d0f243f4b,89
AzagSat,250
greyhound,46
02a4f2fd822187e6eb56,187
SNM Node,0
WhoStone-Blitz,119
BambergCityNode4,107
03b5d21174dd2c25dbbd,3
Breez,19132
lightningONrails,2957
035688,247
033288de5538e2476fd1,3
matrix,2279
ln.satjar.com,10074
Stormfather,2280
lightningbax,3678
JohnWaz,11
₿ig₿ro,8413
ZePikeno,3
M4SsNeT,953
Lightningkillsbabies,1292
lordofwar,5
ATHENA,752
LightningRod.Tokyo,50
Katana,575
Reckless_Satoshi,862
bitcoinheiros.com,956
kelo,714
Klendazu,1733
LN-Fukaya Japan,15344
SiinalLite,112
NekoGuntai-ArmyOfCats,1742
CalicoJack,3
NicNak,55
plebfm,3
02617c277d6566b438d0,631
0296ddc018fabc1c0443,23
MaxWell,5
SatoshisWife,3344
Van_FE,452
DAVEVLAB-LN01,17
0303255006c4589b5e64,483
02b34ce38976ff85f55d,18
02e731b44399a38e2416,1300
Shiplu,762
light stacker,5
Agriculture,416
jsto,7
MolonLabe,632
AKUMA,3990
FDReserve,549
LordFusituaRaspiBLITZII,5
thejlb,25
ROUTE⚡21,3238
02cac75f65710adfc5c6,495
02c5bb1e603ac242721d,20
CapitanPoronga,9
MCX⚡,10279
Chonburi_JK_Node,13
0275ec30337423f36913,3
the_holy_cheese_grater,3980
Alfholanda,1099
0276876c764149f55dc1,3
03521a3242f8a9ec2c42,766
Noded,204
02e31746bc16074e5612,5107
02c0a1cf38c1dd382660,20
River Financial,15730
Babylon-4a,6219
MKTECH,344
MARYSSUPERNODE,1335
HappyRouter,8666
nantapok,648
037ad440711a43c85cc4,78
Renegade,704
023da563c737234c0743,0
BTCPayment,0
WEIRDSPORK,0
03835f425b54cc52be24,13
Connect_Me,520
Blockstudent,2189
Windseeker,5202
ElephantChateau.com ⚡,1924
SOMBERWAFFLE,4766
pipi,3
pillar86,3985
Culi-zusi-2,30
0371a88158414b757d38,89
lnd,211
Rearden Node,261
03f831ef129b0aef4eaf,8
mantiev,4008
02c443028db58c533b65,6
FreedomForever,514
02dec828e9b5432806b7,3
windfallchaindex,9
Lightning Portal,1917
Bank of China,8
025c78a72514a9bc06cb,0
myentryser,0
HotToesiesLND,692
BEOWOOF,5
MAGNUS,596
puhnuckel,383
⚡ Brodwoschd⚡,446
rb2019,16
CerealKiller,1628
Himbeergeld,3
SwissLNDr0cks,98
Barak Hamavrik,1481
022aa80a201e83940305,0
BB10 [NodeNor],1407
03f14237bb08f0afcb1e,498
lnd-personal-mainnet,5
02973f42736d94d64559,0
SLB-lightning,2555
andrewvieyra.1com,500
bonoblitz,25
Totalsense.com [LND],3
ATP,3194
Mars,407
02033f9ec24f10c044fc,450
blitzbold,1888
SQUINK,7
LNFreedom,57
026af26ca2d6c61ed8f9,0
03f31370c1f6384e41c7,4
NAGINI,346
tegrity,18
Smyrna,332
0293db9c19a49309a0bf,1216
0348b3f80f89a228d727,0
PiLN-Chiba,8288
ln.vulndev.io,8
mastersystem60,3
BitcoinKeegan,638
lighthefire,1404
03100aa92ffdd37286a2,380
Ada1st,136
ScreeminDeemin,3
Enigmo's node,1502
johnchidgeysnode,102
Wall-E,2407
mynodebtc.com [BFM],75
Vitorcio,764
plebnet.org - somedata,1154
instazap,373
node-ber-steg,5354
Marc,727
027ccde460cd4981979a,5
IstieMovile,39
02b3d2f5ac0bd668f393,20
0368abf86f9b10c15d6c,266
VEGA,783
OomSkapie,75
Ruhrpott_Lightning,349
CITADEL-CLE,7
blitzlcm2,7
ORANGECHIPMUNK,15
Teval,3
220c0b60c82b,0
Nodey McNode face,3740
028872054de5ac348a84,221
02ebf3780320b832a2b7,11
yalls.org yalls-tor,18459
BitTip,48
California-Sierra,1249
rasboi,13
DIAMONDHANDS,18
donnerwetter,171
023d237b02ff692e108e,28
tardis,145
Runaway21,1241
02d5bdb71fefddaedbfe,0
NiroBit,3
OwlGuy,590
LNVader,8
03e9d9c326a1a9224e03,307
0329dad49942c2be8985,0
bbr,736
drakennl,920
Chappie,227
Azteco,777
EZ0010,2896
02bb3d6ea60d7a963694,8
HOPPINGFEED,6
0248516cdedec7dd2e19,5
02005028c1f9d99c3987,0
Adam Back’s Vision 🎩,7343
duck1123,625
herobrain,1754
023056a85e917a07ff2a,57
Electrum-hodlister,1301
0204a91bb5802ad0a799,6531
034932e96a0a85186ef0,330
ATCQ,3983
Cryptoverman,2437
eusux,0
OpenNode.com,17318
CoinNinja.com,1219
SPCMNetwork,63
Arcane Crypto - Teslacoil,44
0/0_001 Fee | Baby Shark,2853
RIP-Dollar,23
LunaNode,6720
DeepWallet,0
Escape the box,250
Drax,3
MikroBlok,2117
euclid,1439
Shock&Awe,16
032d884ec53afd053fde,28
03e463c2566af0a2e203,0
SoverynBanklet,636
Jolteon,3
03331033e5744d84ecac,0
ThomasJefferson,7
SatBlitz21,0
Thwomboose,88
BitcoinZAR.co.za,1842
WilburCobb,1697
JediOrder21,643
Iko,3485
Aloha-SendIt >>Low Fees<<,5259
lurifax,1232
lightning-node.online,2597
HRF,129
SEWERRAT,14
02e024212307e440ad13,236
sendbitcoin.lol,3876
kellnoid,8
03c95aa163e549d74fb9,800
Digital Gold,1795
ziomanzo,22
lago02,144
xn--4zhaa,2034
La Tinta Aragonesa,34
HalleNode,1476
02c85c34b89d4f5b16f6,3
nodl-s200,1618
Acadian,217
03b3e626bab4f0b24fd8,37
groot,0
02baafb29a177f4f7846,13
paulnode,0
kaminari,3
02a6f7ca36132db34c2a,40
ariconnect,636
SEANSTACKN,1647
FidelCashflow,5
0331691402ff7beab0a1,27
MinistryOfSillyWalks🚶,953
TNOSystemsLN,80
Sequoia,13
GARDENOFSATOSHI,1072
tgk,480
SMW,8339
mrsatlessons,3
AT.LND.Mindz,784
02b22fca4cba4b9ebce5,431
kabosu,2075
0288ba327632b6278158,1179
035bf506fc94f3fcfc3b,26
lightning.miningspeed.com,35
Oiz,2171
btc.binexplorer.com,8275
HydraNode,2151
024e04094af716722ee0,3
03e4d7e6c4faad7b8182,39
0247de1e414bd24b71ac,23
HODL_FOREVER_BTC_ONLY,75
swisslightning,4631
02e274568b137b10b1c9,187
CRYPTOIDSMERCH.COM,1127
daped,15
masterofcoin,5
KenpoViolinist,357
02c704e0422bf6f722aa,7
03256115c88df955f1c0,10
OWL_1,14
runam0k [myNode] [TOR],4582
!!Soda!!,186
02df315ed19636d66272,176
Mile-High-Lightning,122
dav1475,9
03fade89a6b6be2d851e,475
honeybadger,206
027aacfeeaa24fa55803,1190
VA_DDIIW_HOME,35
mistress,654
peakfiatshitshow,4396
MUTATRUM,19753
YELLOWROUTE,6
b02413499a97,0
ln01.bullbitcoin.com,4739
BITCOIN IS FUCK YOU MONEY,857
02ecd37a3f66c3fb994a,77
ConnyDigital,578
0331feaa48e6039f5f84,3
0315b3de98f432ed12c1,9
Megen,290
023ffbba99b9bc53c429,67
Ernestotheone,46
03430c911cce1ac1e634,38
DougBairdMiller,4287
newport,438
ChivoWaLN_2,998
033486e931ab5cefc878,4
RAWEROMON,3
European Central Bank,1128
02ff0713dfc6191e6903,0
bitcoinelement.com,3624
02c10d14cf5f67a0bd71,778
flat18.co.uk-C-LIGHTNING,3
LN.GOT.AM,22
BeastNode,2290
02e5ee91fb400aa19249,7
ohli,2273
waterman,2061
gtfo,253
bitonic 🇳🇱,1241
03317fd0d995b1472742,640
02ee6c2cd1a8abf7eec1,3379
Walhalla,1536
0215a99e8623fd9709cc,20
Lunako,393
Obilisk_Pi,38
LightningLJ,1040
Scarn,2750
eeqjblitz,448
Daniel_Finans[NodeNor],1901
ODDPLOW,49
10c.cz_resurected,4
CircleNode231,152
Kanazawa,483
imdebugging,574
enerwaslicht,5
angry-beaver,34
Lightning2Careful,66
03ed8f846e8eeadc1d2e,10
Bazinga,661
kauly,16
02c413d774add8aa934c,8
Cheese,3
GoldmanSachs,2536
blitz4u,1858
EMC2,166
FlashGordancom,420
029e9ebbba280a97f832,3
03bedf3a940290e9c133,145
the0ther,158
MaxHeadroom,860
0346bd16f486cfcdf558,647
0361739008d5779564c0,1425
0238533fc8c7a2b37e6d,240
02bdf2f80a881368d5d6,112
ieCheet0ch,13
unosatoshi.com,1482
swissblitz,261
FTX,200
cienega_jal,1402
02b4719456296fe2dba6,3
02ab0683bf735f6bd741,0
booz,674
MtRainier,3
02b6e1591994ee00800e,8
03223a5ce50f7b912cf0,0
Johoe,12322
0355b1f53428631e4610,22
GSV-Empiricist,2760
Crypto49ers,977
03d91f2dbbe7783d489e,1629
newtownnode,747
FlowRaspiZ,6
2WNode1,1450
03f9f8dc293a5ac34e45,314
RaspiBlitz,0
inssnach [LND],653
039627555b1c62168e20,5
WoodpeckerShed,512
035b7c07c6f6926a5efc,117
glr.com.py,16042
2100man,13
WJF3,3886
AltairIV,0
02267a53a935be412e8d,0
LostSock,4
Bitrefill Routing,31904
0332c33080d7345ef6cb,3
02ca8405fd45f92a64cc,36
BankoftheSovereignIndividual,17313
02a260971294e455cfc9,16
Bird Of Paradise,2039
032d478e9677b6f19b84,0
024998a461a9f82b62b0,273
03dc3b95e6f7f17e4c67,14
RoadRunner,2283
03151c3e5d350d14b4c9,57
Vasso,3
lntools,1759
TechDuck,664
Tessier-Ashpool,3
NEO303,437
PharLap,561
02b919f718f60af305c6,141
turnover-pie,2133
02e89ca9e8da72b33d89,177
03e7360ec83dfc9bb7de,662
Hart_Terrapin,729
BrewBit,115
RobberBaron,3094
0302870110462dc7a1f0,14
frenchie,260
035b09b99e8107583f02,5
www.marcsteiner.tech,2183
Mining SC,0
Waffles,823
039131053d5cd05d189d,0
VolcanoPowered,10017
This is the way,3917
020f6f6ceaa6cd00a19a,2177
027acdadaca2202c071a,3866
SATSBAE,29
London-LN-Hub,7
BDN_INSURANCE,8
todosunidos,8
NuclearNodes,0
Minovsky,66
Al Salvador,15
03fd818da22571a253cf,68
Mr Crownnnnn,1158
03bbaa99ae4cb761f439,7
NippyBlitz,1125
0347ade65be0fb596fd7,10
AetosDios,2380
DiamondHands💎🙌,24821
BITDOM,43
cmatrx_,2825
carbocation,3002
TL;DR:,381
Klp,3
LNDan21,1060
Ono,5
RaspiBank,3
AtlasShrugged,239
0323686aa38c83df9fd1,8
loopy,58
020c47cd440a35fefee8,279
03e126943da5d79e6cb0,171
02154043ae4eff575288,17
0242e1022de93cf0d695,15
87bebd93d101,3
lightning_stoat,170
Bitcoinz4Zombiez,780
02cb4c404a81820c5dc9,133
03ec3205c54a05fa417a,41
myprecious,12
CertifiedFresh,1521
Bitcoin Suisse ⚡ (2),173
0372a76bc64252a33707,70
theUnknown,12
02e3951f376369620cef,3
NextLevelNode,5050
XpressBTC,65
02f3a7b83f1245e3f859,1213
0203af58678967b0beeb,2074
03831a4599ecbb8a3580,20
bilbo,2792
SatoshiHub,1155
02348d0e948421b294dd,5
kristofpouls,185
MyBTC,4991
03c58e0af01a765a2776,6
03070cf270bd5934a44a,136
FriendsWithBenefits,4826
BTC Buzzard,289
olha,78
HelDoKaff,14
Finky👺,2041
sutadon,276
0307c479b7ce720062d0,8
Muncaster,293
BeachBumNL,1181
03f6b63bb0bd8632ed00,0
TheSpiritualMachine,10
03b9f7800ebc82996f82,1441
039aa2b6403313663605,168
029b81b211e5ad84f542,5
Lightning.Viena,259
02ebb1cc50165cdaac1d,3
Quarreller [myNode],0
03f9948da14776126e77,1992
Isekai should be a genre,0
HNX-R24,0
BTCsessions,3
02928130cf4c0be6744e,99
HDNT.Node.LTNG703,609
ODDANALYST,3
drader,9772
criticalEntropy,20
Xantoshi.lnd,6614
ArticFox,1346
cashbox.cash,8
0320bb4b4e3b76aee793,0
RandomPleb,640
GERMINAL_CENTER,11053
QFR-LND01,47
03e829b2ba953e433bb6,54
FinTechCollective2019,16
[NO]KYC/AM[DL],251
nodl [LND],14
030bfee71c1b5e78562d,8
SatoshiLives21,546
032387daa8d1405fa3e8,0
Vivek,990
02bdccc970221579de9e,49
03330cf84d72c72b21bd,1252
02ce2d22ee8e73540fbf,3
swissKnife,3469
insidealpha,141
037f93e4f414263fcdb6,0
DazBea - Lightning,316
EtonMess,396
Free2beCM_LN,612
034d81846ade6fba6bca,20
FluxCompensator,297
029f68e487cc898b4124,7
OKBitcoiner,6
02b4cb8be9077c3b14d6,5
betheball,13938
BTC4GENS,19
raspiblitz-dcr,73
02a3ff401dee7e48fc5b,11326
Fabled Lightning,1776
RWJ,1283
024d4aac0836802896f6,20
Flitzblitz,2073
Exegol,3141
BSkittles,42
02d4fe24aef06283af0f,44
bitcoinvalley_origin,2440
034af547ca321d3e35a0,49
SetoBridge01,4344
wcpos.com,9
0325fcfe5a713923d4c9,0
Unser_Lightning,24
0331c1eb40738250955e,503
21MBTC,492
Sparkshot.io Station Zebra,3502
021433b483bfc644e1bf,307
theGig,2733
teznode,344
satoshiskitchen,618
3rado,468
02a752d42ea03ec7286e,93
PLPN,2037
Neski,8319
02fadab030dfabaf72ce,3
Rucio Moro,1330
026c5f902c3a6cd5ab65,1004
fullthrodl,709
Pennyboy,3
024c2f8612849b173af7,12
02137477874e8762c5b1,130
bobbyperew,1205
03a36582137d59affb22,134
022dbe10ea5562b0ba04,244
LeeMate,301
Changenow.io,574
Newgen_PL,1196
03d20dd7a955dda39084,4626
zerofeesforfamilies,5
0279f88035f6db302205,3
ChadLegspin,774
LNDOR,5
Christian84,23
lightningnob,2141
02e43f1f5732d76a887c,36
02f83b5bf522f20aec2e,145
02e0e51a32e6d4830595,804
033d69e63a6aaf87d59b,0
CorfuCrypto,640
gabriel,170
mcvl16,29
BTCNodeEMC,1136
02474521c814b031024f,100
shibirenodle,666
Irish_Lightning_Router01,36
BTCLightning396,536
BrightSide ⚡,931
ANI.TRAMX4,8550
0394fd4cc965e72abedb,14
BIFROST [LND],523
M0d1a,103
gameb_2,27161
020e0e58f1adcf553a0e,3
dedalus021.at,8
Ronode,22
Tygo,697
02bec1b44fd34e98a7ed,4
02fcbcaad983a336c56b,206
STRANGEARTIST,49
02dfe525d9c5b4bb52a5,933
nodl-lnd-s010-025,23
SwanPi,354
GTB_LN-node1,1147
03803ae278caeae45e2b,1857
Pinocchio,128
HashQuark01,9804
03d8037c3c2a68302415,742
0337b66ba23722ffab4f,0
AvantGardenTest,16
034ffcc0205a08017a08,6
02984fbc1e579d0fba6b,213
c17815fc07fd,0
0375754a7e33c2138302,303
kMkmkM,949
0264b74183f47ceb7dea,3
034e8311857c47cc7107,95
Jatschup,278
Railway.Station,6134
AlpstoneLight,0
033ad73e2b185860182f,446
teflontwin,1106
nodchblitz,337
UC1TSD,20
thepkbadger,59
beedit,963
CASA_DINERO_AMA,3
Skynet | Brazil/SP Branch,100
Warwick,364
03361b7519ab361254d5,159
Fargen,5
03afb4e5863790f36cf4,29
025f93a78ff9296a75c9,579
02f582bcaf37fea8960d,21
CryptoWizard,1745
03079820e3672d5dc2c3,11
bitcoinforlife,532
QUENOS,292
my-node,4387
02ba59992db27855d078,37
⚡️StriketheLightning⚡️,4392
BitcoinCity,1808
Nevermore,2323
btc21m,178
SLEEPYTOLL,4557
02305823da29b1eae1bd,3
Hyperdope.io,9
02887abe381a08e8ec4e,823
02ef754a13d37b6a1d97,10
cottongin,6
thib,32
oneworld,740
nodl-lnd-s003-039,620
02d3457dee1cee66065f,20
l33tnode,23
030b147e17219fc19b2f,1990
03b99603a9eb9e8e5289,6
Splintern,2813
BadgerBitcoin,32
kokkienode,1229
ITheSovereignIndividual,1068
03d1bf074bd6ffcbed49,4
martypb,2689
9ac543fc27e0,0
027c5166b40423795c0f,594
0215d6e5c36717888507,84
STRANGEPENGUIN,1144
Kirsche,65
037ae8086e7c0d613631,0
02825a6bd596025eb351,17
023105dca68ca866e668,9
hash.stream,1845
03008658decc313f4839,510
0245891de56059695d72,0
pikonode,5
BIZARREWATCH,732
MrMeeseeks,3
1SL-LND,1349
0335820ea7e7eadb43b1,24
0236ef8588c89a09d1b3,3
022ef700bae7557ddec5,9254
0216f020f0d31472e681,42
0278fd09993d66638de9,8
LEMNISCAP,863
Chandrila,2095
03edd230fb182ac18d05,1212
pgsdesign,3
0226177ba487ef0bb561,5
Brew1000,7
LPU,2510
mandelduck,0
BitLab.sk [LND],510
CYBERPUNK,18
Tonnerre_de_Brest,1774
03a316dfcb7abb4b267e,5
0255e7644118df83c5d7,0
BankOfYoko,7451
wario,670
LN_ABC,692
BenniBlitz ⚡,4857
100 Watt Warlock,1206
030c5ea5732158b3d7ec,30
zlnd7,4
GermanRoutingUnlimited,2316
flyingradish,1542
buubuu,87
03745012378c361e039c,9
NoDirtyFiat,936
2,2475
RaucoBTC,6
Roman-Lambo,3
un_nodo_lightning_qualsiasi,10
023d62ac87b5cf0721b2,18
nodl-a01426701f7294340f7b8017,72
BitcoinSpaceAgency,2750
038158a2671c34236845,7
035a0d21758480330ab8,804
_Winterfell_,78
0293c45ed2e3276c6dee,18
Hurly007 ⚡,1284
ArculusNode,43
Lumpen,258
SassyRassy,667
03348a16e2d677d483d5,1054
alpa.lnd,347
Vix18,2240
LNBIG.com [lnd-01],26929
bitbank,568
FutureTravel,48
NCC1701,16
Ramona,3
bitcoinarios.com,5
02484983ebf70372886b,269
0301dd2c1e20241489f5,783
市川雛菜,7
033b78bbcf1694d3f111,688
DRBTCNGN,7260
SonnyBlitz,179
035fcacfe295e3cc2233,24
AnathosNode,2781
dr-bonez,8
024bd51ac268f736a7eb,6
024c9fb4a129eb83c1f7,0
tankman,5012
026459a495093be23e27,6
03ac0e8d57ee0953b329,275
025722598a87aa9801f3,403
KusnachtGoldCoast,981
